   TransferSize(Bytes)        Bandwidth(MB/s)
   1024                         367.3
   2048                         763.7
   3072                         1180.4
   4096                         1548.2
   5120                         1907.0
   6144                         2301.9
   7168                         2690.3
   8192                         3099.2
   9216                         3452.6
   10240                        3833.2
   11264                        4236.0
   12288                        4643.4
   13312                        5028.2
   14336                        5356.6
   15360                        5733.6
   16384                        6114.3
   17408                        6494.9
   18432                        6882.8
   19456                        7254.6
   20480                        7666.4
   22528                        8380.6
   24576                        9245.0
   26624                        10025.3
   28672                        10723.0
   30720                        11453.9
   32768                        12254.9
   34816                        12943.9
   36864                        13764.0
   38912                        14548.2
   40960                        15279.3
   43008                        16009.0
   45056                        16756.0
   47104                        17468.7
   49152                        18353.1
   51200                        19213.0
   61440                        22845.0
   71680                        26446.2
   81920                        29977.8
   92160                        33961.2
   102400                       38024.0
   204800                       63935.4
   307200                       113122.2
   409600                       112142.8
   512000                       123080.0
   614400                       164907.6
   716800                       153946.3
   819200                       116444.3
   921600                       108310.5
   1024000                      114171.9
   1126400                      118642.9
   2174976                      142798.8
   3223552                      150004.2
   4272128                      156162.0
   5320704                      158070.7
   6369280                      159748.7
   7417856                      161846.7
   8466432                      162599.7
   9515008                      163884.7
   10563584                     165432.9
   11612160                     165527.3
   12660736                     166210.0
   13709312                     166871.7
   14757888                     166940.7
   15806464                     167511.4
   16855040                     167955.9
   18952192                     168154.0
   21049344                     168635.3
   23146496                     169190.4
   25243648                     169571.1
   27340800                     169408.8
   29437952                     169898.4
   31535104                     169853.4
   33632256                     170072.5
   37826560                     170357.0
   42020864                     170790.7
   46215168                     170734.2
   50409472                     170803.8
   54603776                     171150.0
   58798080                     171253.1
   62992384                     171366.1
   67186688                     171615.2
