   TransferSize(Bytes)        Bandwidth(MB/s)
   1024                         550.4
   2048                         1102.5
   3072                         1603.1
   4096                         2229.4
   5120                         2662.3
   6144                         3022.7
   7168                         3424.9
   8192                         3762.8
   9216                         4072.5
   10240                        4364.5
   11264                        4619.1
   12288                        4848.7
   13312                        5108.1
   14336                        5314.6
   15360                        5522.5
   16384                        5713.0
   17408                        5879.9
   18432                        6055.5
   19456                        6214.0
   20480                        6358.7
   22528                        6626.5
   24576                        6840.6
   26624                        7092.4
   28672                        7131.8
   30720                        7513.2
   32768                        7677.0
   34816                        7848.9
   36864                        8002.6
   38912                        8162.1
   40960                        8291.9
   43008                        8418.9
   45056                        8534.0
   47104                        8636.2
   49152                        8751.5
   51200                        8848.7
   61440                        9266.1
   71680                        9591.4
   81920                        9856.5
   92160                        10050.0
   102400                       10195.1
   204800                       11112.9
   307200                       11435.4
   409600                       11608.5
   512000                       11638.1
   614400                       11728.6
   716800                       11778.7
   819200                       11820.7
   921600                       11352.4
   1024000                      11401.9
   1126400                      11426.1
   2174976                      11169.0
   3223552                      11109.6
   4272128                      11150.1
   5320704                      11208.4
   6369280                      11234.9
   7417856                      11243.1
   8466432                      11268.0
   9515008                      11278.4
   10563584                     11278.7
   11612160                     11277.0
   12660736                     11281.4
   13709312                     11288.9
   14757888                     11293.6
   15806464                     11291.7
   16855040                     11307.2
   18952192                     11300.2
   21049344                     11311.3
   23146496                     11298.6
   25243648                     11315.7
   27340800                     11316.5
   29437952                     11312.0
   31535104                     11313.9
   33632256                     11316.3
   37826560                     11317.9
   42020864                     11319.5
   46215168                     11322.1
   50409472                     11342.5
   54603776                     11335.6
   58798080                     11347.8
   62992384                     11348.7
   67186688                     11343.0
