   TransferSize(Bytes)        Bandwidth(MB/s)

   1024                         363.0
   2048                         747.7
   3072                         1055.5
   4096                         1345.8
   5120                         1584.8
   6144                         1853.1
   7168                         2065.4
   8192                         2276.9
   9216                         2492.2
   10240                        2658.9
   11264                        2789.3
   12288                        2957.6
   13312                        3192.0
   14336                        3329.0
   15360                        3460.7
   16384                        3552.9
   17408                        3698.5
   18432                        3804.8
   19456                        3915.8
   20480                        4012.8
   22528                        4157.3
   24576                        4366.3
   26624                        4507.9
   28672                        4662.2
   30720                        4772.9
   32768                        4890.2
   34816                        5006.1
   36864                        5117.1
   38912                        5215.0
   40960                        5289.0
   43008                        5332.8
   45056                        5419.1
   47104                        5524.8
   49152                        5597.9
   51200                        5666.0
   61440                        5933.5
   71680                        6136.6
   81920                        6306.6
   92160                        6466.3
   102400                       6547.2
   204800                       7087.5
   307200                       7332.5
   409600                       7446.9
   512000                       7479.4
   614400                       7526.1
   716800                       7560.4
   819200                       7583.4
   921600                       7305.1
   1024000                      7321.0
   1126400                      7340.4
   2174976                      7256.4
   3223552                      7277.8
   4272128                      7297.0
   5320704                      7306.0
   6369280                      7454.1
   7417856                      7661.5
   8466432                      7655.6
   9515008                      7658.6
   10563584                     7661.8
   11612160                     8991.4
   12660736                     9997.3
   13709312                     9999.2
   14757888                     10006.0
   15806464                     10999.1
   16855040                     11000.0
   18952192                     11321.2
   21049344                     11329.2
   23146496                     11327.9
   25243648                     11327.6
   27340800                     11335.4
   29437952                     11331.3
   31535104                     11330.5
   33632256                     11333.8
   37826560                     11338.7
   42020864                     11331.6
   46215168                     11333.9
   50409472                     11344.6
   54603776                     11334.0
   58798080                     11336.3
   62992384                     11335.6
   67186688                     11338.0
